,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
388,zyryanka,65.75,150.85,32.22,92.0,91.0,11.56,RU
389,klaksvik,62.23,-6.59,50.0,76.0,100.0,13.87,FO
390,puerto narino,-3.77,-70.38,84.2,89.0,75.0,8.05,CO
391,lang son,21.83,106.73,76.66,83.0,99.0,0.78,VN
392,waingapu,-9.66,120.26,77.58,86.0,100.0,7.9,ID
393,taltal,-25.4,-70.48,69.85,43.0,1.0,7.38,CL
394,saint anthony,45.02,-93.22,62.44,67.0,90.0,6.93,US
395,kiunga,-6.12,141.29,75.65,98.0,100.0,0.72,PG
396,muhos,64.81,25.99,55.4,28.0,14.0,6.93,FI
397,carroll,39.55,-77.02,63.59,100.0,100.0,10.02,US
398,yenagoa,4.92,6.26,82.06,82.0,99.0,7.83,NG
399,college,64.86,-147.8,54.88,50.0,75.0,1.88,US
400,maniitsoq,65.42,-52.9,39.42,75.0,13.0,3.38,GL
401,sosnogorsk,63.6,53.88,45.16,88.0,99.0,8.34,RU
402,sobolevo,54.43,31.9,42.57,89.0,98.0,11.63,RU
403,shimoda,34.67,138.95,55.99,95.0,100.0,1.01,JP
404,bilibino,68.05,166.44,26.1,93.0,94.0,3.42,RU
405,kavieng,-2.57,150.8,82.67,79.0,58.0,8.14,PG
406,bellevue,47.61,-122.2,51.57,76.0,75.0,11.41,US
407,saint-ambroise,48.55,-71.33,61.43,21.0,20.0,14.99,CA
408,neuquen,-38.95,-68.06,50.0,71.0,38.0,10.29,AR
411,hervey bay,-25.3,152.85,55.99,69.0,100.0,5.01,AU
412,basco,20.45,121.97,83.52,82.0,100.0,24.47,PH
413,acajutla,13.59,-89.83,80.76,83.0,5.0,9.69,SV
414,caravelas,-17.71,-39.25,78.98,77.0,6.0,5.66,BR
415,laguna,38.42,-121.42,66.18,45.0,1.0,8.05,US
416,xichang,27.9,102.26,57.83,77.0,96.0,0.22,CN
417,coria,39.99,-6.54,90.0,19.0,41.0,3.0,ES
418,monrovia,6.3,-10.8,86.0,79.0,75.0,11.41,LR
419,sakata,38.92,139.85,56.16,84.0,100.0,9.8,JP
420,guanica,17.97,-66.91,87.82,54.0,97.0,8.01,PR
421,bouake,7.69,-5.02,87.8,66.0,75.0,6.93,CI
422,ariquemes,-9.91,-63.04,91.2,56.0,51.0,1.9,BR
423,sehithwa,-20.47,22.72,65.48,33.0,0.0,6.58,BW
424,san juan del sur,11.25,-85.87,84.96,73.0,48.0,13.27,NI
425,mount pleasant,32.79,-79.86,78.8,83.0,75.0,5.82,US
426,dothan,31.22,-85.39,83.52,69.0,40.0,6.93,US
427,baryatino,54.31,34.52,44.4,91.0,98.0,7.16,RU
428,kjollefjord,70.95,27.35,46.4,45.0,6.0,4.7,NO
429,veszprem,47.09,17.91,69.8,30.0,39.0,4.7,HU
430,marienburg,54.04,19.03,58.55,100.0,0.0,5.91,PL
431,mana,5.66,-53.78,83.44,73.0,51.0,11.83,GF
